TIMESTAMP,MMSI,LON,LAT,X,Y,HEADING,COURSE,SPEED,NAVIGATIONAL_STATUS,TYPE,STATION,CLASS
1426352234000,555532553,23.644,37.793034,5524519.749193843,1742632.3312256543,148,22.4,0,0,30,-1,A
1426352491000,555532553,23.6604,37.769432,5526364.210326424,1740318.5069746322,158,22.5,0,0,30,-1,A
1426352736000,555532553,23.672117,37.745735,5527802.747639469,1737920.8447117251,159,22.5,0,0,30,-1,A
1426352994000,555532553,23.684984,37.720966,5529361.02730983,1735424.855110385,156,22.3,0,0,30,-1,A
1426353246000,555532553,23.69865,37.69695,5530976.396783065,1733023.938877728,154,22.3,0,0,30,-1,A
1426353528000,555532553,23.71435,37.67055,5532812.015033947,1730395.8802062927,147,22.3,0,0,30,-1,A
1426353798000,555532553,23.742434,37.655334,5535532.328797615,1729183.6960873643,110,22.0,0,0,30,-1,A
1426354050000,555532553,23.77245,37.645782,5538321.942087879,1728620.4906912898,110,22.1,0,0,30,-1,A
1426354314000,555532553,23.8044,37.63575,5541289.443582844,1728037.0134505578,109,22.1,0,0,30,-1,A
1426354578000,555532553,23.836067,37.62583,5544230.797400574,1727462.5048245855,110,21.9,0,0,30,-1,A
1426354848000,555532553,23.868416,37.6161,5547228.867680474,1726920.9097251906,110,22.3,0,0,30,-1,A
1426355107000,555532553,23.899883,37.60665,5550145.445928313,1726396.954084668,110,22.6,0,0,30,-1,A
1426355365000,555532553,23.931633,37.59712,5553088.676608825,1725870.0995498318,109,22.4,0,0,30,-1,A
1426355623000,555532553,23.963766,37.588215,5556054.664203321,1725418.7824687313,107,22.4,0,0,30,-1,A
1426355874000,555532553,23.995117,37.5801,5558938.618249326,1725042.1356442822,107,22.4,0,0,30,-1,A
1426356180000,555532553,24.03325,37.570183,5562447.820496133,1724580.5991642256,107,22.6,0,0,30,-1,A
1426356440000,555532553,24.065416,37.561333,5565417.1234903615,1724139.9039577304,107,22.7,0,0,30,-1,A
1426356696000,555532553,24.097433,37.552532,5568372.984361329,1723703.4127199568,106,22.6,0,0,30,-1,A
1426356960000,555532553,24.130266,37.543484,5571405.063495798,1723254.6636830713,104,22.8,0,0,30,-1,A
